family,domain,status,registered_correct,drug_outcome,gen_or,gen_ci,gen_leg_verdict,gen_leg_source,outcome_program,trial_phase,efficacy_endpoint,regulatory_outcome,classifier_versions_with_changes,n_flags,flags
Metabolic-AD,neuro,pre-registered,True,Failed,1.01,,MR-instrumented,PMID 32326995,"semaglutide, oral (evoke / evoke+); pioglitazone (TOMMORROW)",III,not met,not submitted,1,1,catalog row AD-020 carries a CI (0.96-1.06) that the classifier dropped
ModRisk-AD,neuro,pre-registered,True,Failed,1.1,,MR-instrumented,PMID 29212772,not reported,not reported,not reported,not reported,1,2,"scored outcome has no drug program in the record | registered MR OR 1.1 matches no genetic row in the evidence catalog (catalog has 0.89, 1.04)"
Anti-CD20-MS,neuro,pre-registered,True,Approved,0.83,(0.79-0.89),MR-instrumented,PMID 36864689,ocrelizumab (OPERA I/II; ORATORIO); ofatumumab (ASCLEPIOS I/II); ublituximab (ULTIMATE I/II),III,met,approved,2,0,
Smoking-MS/AD,neuro,pre-registered,True,Failed,1.03,,MR-instrumented,PMID 33253141,not reported,not reported,not reported,not reported,1,2,scored outcome has no drug program in the record | catalog row MS-021 carries a CI (0.89-1.19) that the classifier dropped
HRT-AD,neuro,pre-registered,True,Failed,1.0,(0.85-1.18),MR-instrumented,PMID 41350255,"conjugated equine estrogen 0.625 mg + medroxyprogesterone acetate 2.5 mg (WHIMS, ancillary to the WHI estrogen-plus-progestin trial)",III,not met,not submitted,1,0,
BMI-MS,neuro,pending,,Pending,1.41,(1.2-1.66),,,behavioral weight loss (MoDEMS); intermittent calorie restriction (Ghezzi 2025 iCR trial),not reported,not tested,not submitted,1,0,
BMI-AD,neuro,pre-registered,True,Failed,1.03,(1.01-1.05),MR-instrumented,"PMID:34057091 (Li 2021, J Alzheimers Dis)",not reported,not reported,not reported,not reported,1,1,scored outcome has no drug program in the record
VitaminD-MS,neuro,pre-registered,False,Failed,2.0,(1.7-2.5),MR-instrumented,PMID 26305103,vitamin D3 (cholecalciferol) supplementation: VIDAMS; D-Lay MS; SOLAR; CHOLINE; PrevANZ,III,mixed,not submitted,1,0,
EBV-MS,neuro,pre-registered,True,Approved,5.0,(2.0-20.0),unresolved,UNRESOLVED,not reported,not reported,not reported,not reported,1,4,frozen supplement gives no GEN value (None); classifier holds gen_OR 5.0 | genetic-leg estimate not traced to any source | scored outcome has no drug program in the record | registered MR OR 5.0 matches no genetic row in the evidence catalog (catalog has 32.4)
HDL/CETP,cardio,pre-registered,True,Failed,0.93,(0.68-1.26),MR-instrumented,PMID 22607825,"torcetrapib (ILLUMINATE); dalcetrapib (dal-OUTCOMES); evacetrapib (ACCELERATE); class also includes anacetrapib (REVEAL), not named in the manuscript",III,mixed,not submitted,1,0,
Niacin/HDL,cardio,pre-registered,True,Failed,0.93,(0.68-1.26),MR-instrumented,PMID 22607825,extended-release niacin (AIM-HIGH); extended-release niacin/laropiprant (HPS2-THRIVE),III,not met,not approved,1,0,
Homocysteine,cardio,pre-registered,True,Failed,1.02,(0.98-1.07),MR-instrumented,PMID 22363213,folic acid / vitamin B6 / vitamin B12 supplementation (HOPE-2; NORVIT; 8-trial meta-analysis of the B-Vitamin Treatment Trialists' Collaboration),III,not met,not submitted,1,0,
CRP,cardio,pre-registered,True,No benefit,1.0,(0.97-1.02),MR-instrumented,PMID 19567438,canakinumab (CANTOS),III,met,not approved,1,1,primary endpoint met but registered outcome is failure (regulatory reading)
Uric acid,cardio,ambiguous,,Failed,1.05,(0.92-1.2),,,allopurinol (ALL-HEART),post-marketing,not met,not submitted,1,0,
LDL/PCSK9,cardio,pre-registered,True,Approved,1.78,(1.58-2.01),MR-instrumented,PMID 24474739,evolocumab (FOURIER); alirocumab (ODYSSEY OUTCOMES),III,met,approved,1,0,
Blood pressure,cardio,pre-registered,True,Approved,1.44,(1.35-1.55),MR-instrumented,PMID 32611631,antihypertensive drug classes (mixed class); PROGRESS (perindopril with or without indapamide) as the stroke-specific exemplar; BPLTTC individual-participant meta-analysis of 48 trials,mixed class,met,approved,1,0,
Triglycerides,cardio,pre-registered,True,Approved,1.62,(1.24-2.11),MR-instrumented,PMID 24474739,triglyceride-lowering classes (mixed class): icosapent ethyl (REDUCE-IT); pemafibrate (PROMINENT); omega-3 carboxylic acids (STRENGTH); fenofibrate (ACCORD-Lipid),mixed class,mixed,approved,1,0,
Lp(a),cardio,pending,,Pending,0.94,(0.93-0.95),,,pelacarsen (Lp(a)HORIZON),III,not reported,not submitted,1,0,
IL-6R,cardio,pending,,Pending,0.95,(0.93-0.97),,,ziltivekimab (ZEUS),III,not met,not submitted,1,0,
IL-23-psoriasis,autoimmune,pre-registered,True,Approved,0.616,(0.563-0.674),association,PMID 22706445,"guselkumab (Tremfya; anti-IL-23 p19), first-approved selective IL-23 inhibitor for the indication; ustekinumab (Stelara; anti-IL-12/23 p40) is the earlier p40 agent",III,met,approved,2,1,"genetic leg is a variant-disease association, not MR"
CTLA-4-RA,autoimmune,pre-registered,False,Approved,0.86,(0.78-0.95),association,PMID 19404967,"abatacept (Orencia; CTLA-4-Ig costimulation modulator), first-in-class",III,met,approved,2,1,"genetic leg is a variant-disease association, not MR"
